int,1000,100000,uniform,0,10000
int,1000,100000,normal,5000,2000
double,1000,100000,normal,5000,2000
double,1000,100000,uniform,0,10000
int,1000,100000,uniform,-1000000000,1000000000
int,1000,100000,normal,0,300000000
double,1000,100000,normal,0,300000000
double,1000,100000,uniform,-1000000000,1000000000
double,1000,100000,normal,0,1
double,1000,100000,uniform,0,1
int,10000,10000,uniform,0,10000
int,10000,10000,normal,5000,2000
double,10000,10000,normal,5000,2000
double,10000,10000,uniform,0,10000
int,10000,10000,uniform,-1000000000,1000000000
int,10000,10000,normal,0,300000000
double,10000,10000,normal,0,300000000
double,10000,10000,uniform,-1000000000,1000000000
double,10000,10000,normal,0,1
double,10000,10000,uniform,0,1
int,100000,1000,uniform,0,10000
int,100000,1000,normal,5000,2000
double,100000,1000,normal,5000,2000
double,100000,1000,uniform,0,10000
int,100000,1000,uniform,-1000000000,1000000000
int,100000,1000,normal,0,300000000
double,100000,1000,normal,0,300000000
double,100000,1000,uniform,-1000000000,1000000000
double,100000,1000,normal,0,1
double,100000,1000,uniform,0,1
int,1000000,100,uniform,0,10000
int,1000000,100,normal,5000,2000
double,1000000,100,normal,5000,2000
double,1000000,100,uniform,0,10000
int,1000000,100,uniform,-1000000000,1000000000
int,1000000,100,normal,0,300000000
double,1000000,100,normal,0,300000000
double,1000000,100,uniform,-1000000000,1000000000
double,1000000,100,normal,0,1
double,1000000,100,uniform,0,1
int,10000000,10,uniform,0,10000
int,10000000,10,normal,5000,2000
double,10000000,10,normal,5000,2000
double,10000000,10,uniform,0,10000
int,10000000,10,uniform,-1000000000,1000000000
int,10000000,10,normal,0,300000000
double,10000000,10,normal,0,300000000
double,10000000,10,uniform,-1000000000,1000000000
double,10000000,10,normal,0,1
double,10000000,10,uniform,0,1
int,100000000,3,uniform,0,10000
int,100000000,3,normal,5000,2000
double,100000000,3,normal,5000,2000
double,100000000,3,uniform,0,10000
int,100000000,3,uniform,-1000000000,1000000000
int,100000000,3,normal,0,300000000
double,1000000,3,normal,0,300000000
double,100000000,3,uniform,-1000000000,1000000000
double,100000000,3,normal,0,1
double,100000000,3,uniform,0,1